ID,Style,Medal,Medalist,Medalist_Original,Entry,Town,Department,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
12,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Le Manoir du Val Cidre demi-sec du Pays de la Risle Bio 2022,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
13,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Le Manoir du Val Cidre du Pays de la Risle 2021 Bio 2021,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
14,Cidre,🥈 Argent,Les Normandises du Pradon,EARL du Pradon,Les Normandises du Pradon Brut 2022,Gonfreville l'Orcher,Seine-Maritime,3308,http://lesnormandisesdupradon.com/,https://www.facebook.com/lesnormandisesdupradon/,https://www.instagram.com/lesnormandisesdupradon/,https://maps.google.com/?cid=5034289693754776537,,https://untappd.com/w/ferme-du-pradon/228438,49.5159748,0.2338077
15,Cidre,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie - Benjamin LEPELLEY,Ferme de la Commanderie Brut 2022,Grosville,Manche,3319,http://www.ferme-de-la-commanderie.fr/,https://www.facebook.com/CidrerieLaCommanderie,https://www.instagram.com/cidreriefermedelacommanderie,https://maps.google.com/?cid=2113479186577428756,https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503,https://untappd.com/w/ferme-de-la-commanderie/233207,49.5108604,-1.7174817
16,Cidre,🥈 Argent,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur Vincent GAUTIER,Ferme de la Vallée au Tanneur L'extra-brut Bio 2021,Auvillars,Calvados,2160,,https://www.facebook.com/valleeautanneur,,https://maps.google.com/?cid=1292218678865448801,,https://untappd.com/w/ferme-de-la-vallee-au-tanneur/102219,49.2084438,0.0436273
17,Cidre,🥈 Argent,Famille Guesdon,La Cave Normande - Famille Guesdon,Domaine de la Cave Normande 2022,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
18,Cidre,🥈 Argent,La Ferme de Billy,La Ferme de Billy - Olivier Vauvrecy,La Ferme de Billy Fruité 2022,Rots,Calvados,1653,https://www.ferme-de-billy.com/,https://www.facebook.com/lafermedebilly/,https://www.instagram.com/lafermedebilly/,https://maps.google.com/?cid=11023078698699122653,https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742,https://untappd.com/w/la-ferme-de-billy/247621,49.2134763,-0.4722615
19,Cidre,🥈 Argent,Manoir d'Apreval,Manoir d'Apreval - Agathe Letellier,Manoir d'Apreval L'Enchanteur Bio 2022,Pennedepie,Calvados,1377,https://www.apreval.com/,https://www.facebook.com/manoirdapreval/,https://www.instagram.com/manoirdapreval/,https://maps.google.com/?cid=10807770520098333687,https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014,https://untappd.com/w/manoir-d-apreval/228726,49.4063622,0.1751606
20,Cidre,🥈 Argent,Breton Michel,Michel BRETON,Bio 2022,La Ferté-Macé,Orne,3309,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629,48.5669746,-0.3738003
21,Cidre,🥈 Argent,La Ferme des Ruelles,Michel GALMEL,Ferme des Ruelles Demi-sec 2022,Tilly,Eure,2888,https://www.fermedesruelles.com/,https://www.facebook.com/fermedesruelles,https://www.instagram.com/la_ferme_des_ruelles/,https://maps.google.com/?cid=14485040344949359277,https://www.tripadvisor.com/Hotel_Review-g6623129-d6622401,https://untappd.com/w/la-ferme-des-ruelles/141983,49.1412626,1.5194074
22,Cidre,🥈 Argent,Domaine des Hauts-Vents,SCEA des Hauts Vents - Alain CABOULET,Domaine des Hauts Vents Doux 2022,Saint-Ouen du Tilleul,Eure,2889,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
23,Cidre,🥈 Argent,Ferme des Martellières,SCEA des Martellières - Thierry Boisgontier & Richard Lévêque,Les Martellières Brut Bio 2022,Juvigny Val d'Andaine,Orne,3322,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057,48.497685,-0.532571
24,Cidre,🥈 Argent,Ferme des Martellières,SCEA des Martellières - Thierry Boisgontier & Richard Lévêque,Les Martellières Demi-sec Bio 2022,Juvigny Val d'Andaine,Orne,3322,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057,48.497685,-0.532571
25,IGP Cidre de Normandie,🥇 Or,La Cave de la Loterie,Cave de la Loterie - Régis AUBRY,Cave de la Loterie Fraîcheur Bio 2022,Clécy,Calvados,3316,https://www.cavedelaloterie.fr/,https://www.facebook.com/cavedelaloterie,https://www.instagram.com/cave_de_la_loterie/,https://maps.google.com/?cid=14052572828101776269,https://www.tripadvisor.com/Attraction_Review-g672828-d12674111,https://untappd.com/w/cave-de-la-loterie/234216,48.8906343,-0.4710245
26,IGP Cidre de Normandie,🥇 Or,Domaine des 5 Autels,EARL 5 Autels,5 Autels Cuvée Jean-René Bio 2021,Valambray,Calvados,2591,https://cinqautels.com/,https://www.facebook.com/5Autels/,https://www.instagram.com/5autels/,https://maps.google.com/?cid=1561300018564057036,https://www.tripadvisor.com/Hotel_Review-g1385431-d1308959,https://untappd.com/w/domaine-des-cinqs-autels/519014,49.0742817,-0.1886941
27,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or Brut Bio 2022,Boisemont,Eure,2689,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
28,IGP Cidre de Normandie,🥇 Or,Zathinoé,Zathinoe,Zathinoe Carte Verte Bio 2019,Castillon en Auge,Calvados,2702,https://zathinoe.fr/,,,https://maps.google.com/?cid=2359582709656446462,,https://untappd.com/w/zathinoe/452758,49.0320526,0.0828382
29,IGP Cidre de Normandie,🥈 Argent,Cidrerie de la Brique,Cidrerie de la Brique,Les Vergers Doux 2022,Saint-Joseph,Manche,1312,https://cidreriedelabrique.com/,https://www.facebook.com/CidreriedelaBrique/,https://www.instagram.com/cidreriedelabrique/,https://maps.google.com/?cid=7178427047416068956,,https://untappd.com/CidreriedeLaBrique,49.5156759,-1.5231005
30,IGP Cidre de Normandie,🥈 Argent,Cidrerie de la Brique,Cidrerie de la Brique,Le Brut Artisanal Bio 2022,Saint-Joseph,Manche,1312,https://cidreriedelabrique.com/,https://www.facebook.com/CidreriedelaBrique/,https://www.instagram.com/cidreriedelabrique/,https://maps.google.com/?cid=7178427047416068956,,https://untappd.com/CidreriedeLaBrique,49.5156759,-1.5231005
31,IGP Cidre de Normandie,🥈 Argent,Cidre Viard-Bayeux,Cidrerie Viard - Bayeux,Bayeux Brut tannique 2022,Guéron,Calvados,3318,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
32,IGP Cidre de Normandie,🥈 Argent,Cidre Viard-Bayeux,Cidrerie Viard - Bayeux,Pomme d'Aure Brut 2022,Guéron,Calvados,3318,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
33,IGP Cidre de Normandie,🥈 Argent,Cidrerie Dujardin,Les Celliers Associés,Dujardin Doux 2022,Condé-sur-Vire,Manche,1142,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309,49.1198831,-0.721687
34,IGP Cidre de Normandie,🥈 Argent,Les Vergers de Ducy,SCEA Domaine de la Flaguerie Les Vergers de Ducy,La Flaguerie Cuvée Ulysse Tonic Bio 2021,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
35,IGP Cidre de Normandie,🥈 Argent,Les Vergers de Ducy,SCEA Domaine de la Flaguerie Les Vergers de Ducy,Les Vergers de Ducy Demi-sec Bio 2021,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
36,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,EARL Cidre Lemasson,Lemasson Brut Bio 2021,Cametours,Manche,2691,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290,49.0708506,-1.2963565
37,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,EARL Cidre Lemasson,Lemasson Extra-brut Bio 2021,Cametours,Manche,2691,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290,49.0708506,-1.2963565
38,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Cidrerie Claids,Cidrerie Claids Brut 2021,Saint-Patrice de Claids,Manche,3317,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585
39,AOP Cidre Cotentin,🥈 Argent,Cidrerie Le Père Mahieu,SARL Cidrerie le Père Mahieu,Le Père Mahieu Cuvée du Triquart brut Bio 2022,Bricquebosq,Manche,3320,https://www.leperemahieu.com/,https://www.facebook.com/peremahieu/,https://www.instagram.com/cidrerieleperemahieu/,https://maps.google.com/?cid=12368038145815947190,https://www.tripadvisor.com/Attraction_Review-g4737571-d2476893,https://untappd.com/w/le-p-re-mahieu/324018,49.5477465,-1.7151626
40,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Ferme Cidricole Desvoye,Cidrerie Desvoye Cuvée Premières Bio 2022,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
41,AOP Cidre Pays d'Auge,🥇 Or,Manoir de Grandouet,GAEC du Manoir de Grandouet,Manoir de Grandouet Cuvée réserve Bio 2021,Cambremer,Calvados,1376,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211
42,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,EARL Maertens,Lieu Roussel Bio 2022,Douville-en-Auge,Calvados,1650,https://lieu-roussel.fr/,,https://www.instagram.com/ferme_du_lieu_roussel/,https://maps.google.com/?cid=14333694268932285992,https://www.tripadvisor.com/Attraction_Review-g1918936-d6581852,https://untappd.com/w/lieu-roussel/276562,49.254184,-0.021999
43,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,EARL Maertens,Lieu Roussel Bio 2021,Douville-en-Auge,Calvados,1650,https://lieu-roussel.fr/,,https://www.instagram.com/ferme_du_lieu_roussel/,https://maps.google.com/?cid=14333694268932285992,https://www.tripadvisor.com/Attraction_Review-g1918936-d6581852,https://untappd.com/w/lieu-roussel/276562,49.254184,-0.021999
44,AOP Cidre Pays d'Auge,🥈 Argent,Ferme Cidricole Desvoye,Ferme Cidricole Desvoye,Cidrerie Desvoye Tradition Bio 2022,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
45,AOP Cidre Pays d'Auge,🥈 Argent,Domaine de la Galotière,SCEA La Galotière,La Galotière Bio 2022,Crouttes,Orne,1183,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481
46,AOP Cidre du Perche,🥇 Or,Cidrerie Domaine du Ruisseau,Domaine du Ruisseau - Jean-François Leroux,Domaine du Ruisseau Demi-sec Bio 2022,Cour Maugis-sur-Huisne,Orne,3325,,,,https://maps.google.com/?cid=14181024575525431243,,https://untappd.com/w/domaine-du-ruisseau/470036,48.4571495,0.7511747
47,AOP Cidre du Perche,🥇 Or,Cidrerie Domaine du Ruisseau,Domaine du Ruisseau - Jean-François Leroux,Domaine du ruisseau Cuvée Prestige l'Or du Ruisseau Bio 2021,Cour Maugis-sur-Huisne,Orne,3325,,,,https://maps.google.com/?cid=14181024575525431243,,https://untappd.com/w/domaine-du-ruisseau/470036,48.4571495,0.7511747
48,AOP Cidre du Perche,🥈 Argent,GAEC Hédouin,GAEC Hédouin,Récolte 2022,Crasville La Mallet,Seine-Maritime,3324,,https://www.facebook.com/gaechedouin/,,https://maps.google.com/?cid=8955816640789328765,,,49.7907638,0.7005957
49,AOP Cidre du Perche,🥈 Argent,Cidre Richard Fouqué,Lupins et Digitales - Richard FOUQUÉ,Cidre de Pressoir Bois L'excellence Bio 2018,Terres de Caux,Seine-Maritime,3323,https://richardfouque.fr/,,,https://maps.google.com/?cid=357260865149493086,,https://untappd.com/w/richard-fouquac/362975,49.6880172,0.5648885
50,Cidre rosé,🥇 Or,Les Vergers de Ducy,SCEA Domaine de la Flaguerie Les Vergers de Ducy,Les Vergers de Ducy 2022,Ducy Sainte-Marguerite,Calvados,3321,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480,49.2169875,-0.6242584
51,Cidre rosé,🥈 Argent,Cidrerie Dujardin,Les Celliers Associés,Dujardin Rosé 2022,Condé-sur-Vire,Manche,1142,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309,49.1198831,-0.721687
52,Cidre rosé,🥈 Argent,Ferme des Noës,SCEA Ferme des Noës,Ferme des Noës 2022,Saint-Aubin-sur-Gaillon,Eure,2887,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
53,Cidre de glace,🥈 Argent,Domaine des Hauts-Vents,SCEA des Hauts Vents - Alain CABOULET,Domaine des Hauts Vents 2022,Saint-Ouen du Tilleul,Eure,2889,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
54,Cidre de glace,🥈 Argent,Domaine de la Galotière,SCEA La Galotière,La Galotière Bio 2021,Crouttes,Orne,1183,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481
55,AOP Poiré Domfront,🥈 Argent,Pacory,Pacory - GAEC des Grimaux,Pacory Le Doyen 2022,Mantilly,Orne,1582,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360,48.5314059,-0.795102
56,Poiré,🥇 Or,Famille Guesdon,La Cave Normande - Famille Guesdon,Domaine de la Cave Normande Cuvée Tradition 2022,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
57,Poiré,🥇 Or,Breton Michel,Michel BRETON,Bio 2022,La Ferté-Macé,Orne,3309,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629,48.5669746,-0.3738003
58,Poiré,🥇 Or,Ferme des Martellières,SCEA des Martellières - Thierry Boisgontier & Richard Lévêque,Ferme des Martellières Demi-sec 2021,Juvigny Val d'Andaine,Orne,3322,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057,48.497685,-0.532571
59,Poiré,🥈 Argent,La Cave de la Loterie,Cave de la Loterie - Régis AUBRY,Cave de la Loterie Bio 2022,Clécy,Calvados,3316,https://www.cavedelaloterie.fr/,https://www.facebook.com/cavedelaloterie,https://www.instagram.com/cave_de_la_loterie/,https://maps.google.com/?cid=14052572828101776269,https://www.tripadvisor.com/Attraction_Review-g672828-d12674111,https://untappd.com/w/cave-de-la-loterie/234216,48.8906343,-0.4710245
60,Poiré,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Le Manoir du Val Poiré du Pays de la Risle Bio 2022,Mesnil-en-Ouche,Eure,3315,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,,49.02546,0.722805
61,Poiré,🥈 Argent,Les Vergers du Chouquet,EARL Les Vergers du Chouquet - Christophe Aguinet,Bio 2022,Camembert,Orne,2901,,,,https://maps.google.com/?cid=4633427283115041645,,https://untappd.com/w/les-vergers-du-chouquet/50301,48.884448,0.2503795
62,Poiré,🥈 Argent,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur Vincent GAUTIER,Ferme de la Vallée au Tanneur Bio 2021,Auvillars,Calvados,2160,,https://www.facebook.com/valleeautanneur,,https://maps.google.com/?cid=1292218678865448801,,https://untappd.com/w/ferme-de-la-vallee-au-tanneur/102219,49.2084438,0.0436273
63,Poiré,🥈 Argent,Famille Guesdon,La Cave Normande - Famille Guesdon,Domaine de la Cave Normande 2022,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
64,Poiré,🥈 Argent,Cidrerie Dujardin,Les Celliers Associés,Dujardin 2022,Condé-sur-Vire,Manche,1142,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309,49.1198831,-0.721687
65,Poiré,🥈 Argent,Ferme des Martellières,SCEA des Martellières - Thierry Boisgontier & Richard Lévêque,Ferme des Martellières Brut Bio 2022,Juvigny Val d'Andaine,Orne,3322,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057,48.497685,-0.532571
